rank,K_L,K_I,K_B,K_R,K_V,I_leak,slew_rate,score,mean_dt,median_dt,std_dt,p95_dt,p99_dt,gt_20m,gt_40m,gt_60m,pct_H9plus,pct_E,pct_B0,sawtooth,antistall_count,target_error,lag_amplitude,robustness,total_blocks
120,0.26,0.06,0.0,0.05,0.02,0.992,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
121,0.26,0.07,0.0,0.05,0.02,0.992,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
122,0.27,0.04,0.0,0.05,0.02,0.992,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
123,0.27,0.05,0.0,0.05,0.02,0.992,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
124,0.27,0.07,0.0,0.05,0.02,0.992,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
125,0.27,0.06,0.0,0.05,0.02,0.992,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
126,0.23,0.04,0.0,0.05,0.02,0.995,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
127,0.23,0.05,0.0,0.05,0.02,0.995,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
128,0.23,0.06,0.0,0.05,0.02,0.995,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
129,0.23,0.07,0.0,0.05,0.02,0.995,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
130,0.24,0.05,0.0,0.05,0.02,0.995,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
131,0.24,0.04,0.0,0.05,0.02,0.995,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
132,0.24,0.06,0.0,0.05,0.02,0.995,1,-10.2824,601.8533,385.05,729.8931,1875.6,3346,261.5,50.1,16,0.0,25.375,67.155,0,0,1.957,4.6033,1.4408,2000
